epoch,train_error,val_error
1109,0.050215,0.053234
1110,0.050215,0.053233
1111,0.050215,0.053233
1112,0.050215,0.053233
1113,0.050215,0.053232
1114,0.050215,0.053232
1115,0.050215,0.053232
1116,0.050215,0.053231
1117,0.050215,0.053231
1118,0.050215,0.053231
1119,0.050215,0.053230
1120,0.050215,0.053230
1121,0.050215,0.053230
1122,0.050215,0.053229
1123,0.050215,0.053229
1124,0.050215,0.053229
1125,0.050215,0.053228
1126,0.050215,0.053228
1127,0.050215,0.053228
1128,0.050215,0.053227
1129,0.050215,0.053227
1130,0.050215,0.053227
1131,0.050215,0.053226
1132,0.050215,0.053226
1133,0.050215,0.053226
1134,0.050215,0.053225
1135,0.050215,0.053225
1136,0.050215,0.053225
1137,0.050215,0.053225
1138,0.050215,0.053224
1139,0.050215,0.053224
1140,0.050215,0.053224
1141,0.050215,0.053223
1142,0.050215,0.053223
1143,0.050215,0.053223
1144,0.050215,0.053222
1145,0.050215,0.053222
1146,0.050215,0.053222
1147,0.050215,0.053221
1148,0.050215,0.053221
